FanGraph ID,Player,Carded Team,Position
18694,"Allard, Kolby",ATN,SP/RP
6895,"Anderson, Chase",CON/TBA,SP/RP
12880,"Anderson, Tyler",LAA,SP/RP
18864,"Avila, Pedro",SDN,SP/RP
25777,"Battenfield, Peyton",CLA,SP/RP
23150,"Bido, Osvaldo",PIN,SP/RP
19866,"Bielak, Brandon",HOA,SP/RP
14361,"Blach, Ty",CON,SP/RP
19407,"Blanco, Ronel",HOA,SP/RP
24607,"Bowlan, Jonathan",KCA,SP/RP
15440,"Boyd, Matthew",DEA,SP
27597,"Bradford, Cody",TEA,SP/RP
22543,"Bradley, Taj",TBA,SP/RP
5524,"Bumgarner, Madison",ARN,SP
23313,"Butto, Jose",NYN,SP/RP
6632,"Carrasco, Carlos",NYN,SP
27500,"Cecconi, Slade",ARN,SP/RP
13345,"Cessa, Luis",CIN,SP/RP
16401,"Chirinos, Yonny",ATN/TBA,SP/RP
22810,"Contreras, Roansy",PIN,SP/RP
9323,"Corbin, Patrick",WAN,SP
23165,"Cruz, Steven",KCA,SP/RP
6893,"Cueto, Johnny",MMN,SP/RP
13183,"Davies, Zach",ARN,SP
25862,"Davis, Noah",CON,SP/RP
14844,"Dermody, Matt",BOA,SP
13050,"DeSclafani, Anthony",SFN,SP/RP
29928,"Dodd, Dylan",ATN,SP
26257,"Estes, Joey",OAA,SP
19874,"Faedo, Alex",DEA,SP/RP
21446,"Feltner, Ryan",CON,SP
13896,"Flexen, Chris",CON/SEA,SP/RP
21212,"France, J.P.",HOA,SP/RP
25636,"Gaddis, Hunter",CLA,SP/RP
17149,"German, Domingo",NYA,SP/RP
26048,"Gipson-Long, Sawyer",DEA,SP
15467,"Gonzales, Marco",SEA,SP
23221,"Grove, Michael",LAN,SP/RP
27470,"Hancock, Emerson",SEA,SP
21520,"Harris, Hogan",OAA,SP/RP
26285,"Henry, Tommy",ARN,SP/RP
19206,"Hudson, Dakota",SLN,SP/RP
23301,"Junk, Janson",MLN,SP/RP
18331,"Kaprielian, James",OAA,SP/RP
15734,"Keller, Brad",KCA,SP/RP
17877,"Kennedy, Brett",CIN,SP/RP
9434,"Keuchel, Dallas",MNA,SP/RP
2429,"Kluber, Corey",BOA,SP/RP
19350,"Kremer, Dean",BAA,SP
17969,"Lambert, Peter",CON,SP/RP
19316,"Lauer, Eric",MLN,SP/RP
15823,"Littell, Zack",TBA/BOA,SP/RP
19320,"Lucchesi, Joey",NYN,SP
21537,"Lynch IV, Daniel",KCA,SP
16358,"Mahle, Tyler",MNA,SP
22176,"McGee, Easton",SEA,SP
21318,"Megill, Tylor",NYN,SP
7608,"Milone, Tommy",SEA,SP
20167,"Muller, Kyle",OAA,SP/RP
26253,"Nelson, Ryne",ARN,SP/RP
27646,"Ortiz, Luis L.",PIN,SP/RP
18376,"Overton, Connor",CIN,SP
14764,"Parsons, Wes",TOA,SP
27768,"Perez, Eury",MMN,SP
27782,"Pfaadt, Brandon",ARN,SP/RP
27649,"Phillips, Connor",CIN,SP
23191,"Plassmeyer, Michael",PHN,SP
19979,"Plesac, Zach",CLA,SP
25977,"Priester, Quinn",PIN,SP/RP
11486,"Ray, Robbie",SEA,SP
12317,"Rea, Colin",MLN,SP/RP
24581,"Richardson, Lyon",CIN,SP
22286,"Rogers, Trevor",MMN,SP
24602,"Rom, Drew",SLN,SP
20009,"Rosenberg, Kenny",LAA,SP/RP
12499,"Rucinski, Drew",OAA,SP
14444,"Ryu, Hyun Jin",TOA,SP
19205,"Scholtens, Jesse",CHA,SP/RP
19695,"Seabold, Connor",CON,SP/RP
15488,"Senzatela, Antonio",CON,SP
27472,"Shuster, Jared",ATN,SP
11760,"Smyly, Drew",CHN,SP/RP
18383,"Soroka, Michael",ATN,SP/RP
27685,"Spiers, Carson",CIN,SP/RP
17677,"Springs, Jeffrey",TBA,SP
27792,"Stone, Gavin",LAN,SP/RP
25650,"Stoudt, Levi",CIN,SP/RP
19911,"Suarez, Jose",LAA,SP/RP
11762,"Syndergaard, Noah",CLA/LAN,SP
6797,"Teheran, Julio",MLN,SP/RP
16929,"Toussaint, Touki",CHA/CLA,SP/RP
16207,"Turnbull, Spencer",DEA,SP
11589,"Urena, Jose",CHA/CON,SP
18413,"Urquidy, Jose",HOA,SP/RP
27691,"Varland, Louie",MNA,SP/RP
24719,"Vasquez, Randy",NYA,SP/RP
11189,"Velasquez, Vince",PIN,SP
25928,"Vines, Darius",ATN,SP/RP
2233,"Wainwright, Adam",SLN,SP
27681,"Waldichuk, Ken",OAA,SP/RP
25550,"Waldron, Matt",SDN,SP/RP
17489,"Watkins, Spenser",OAA,SP
23796,"Weathers, Ryan",MMN/SDN,SP/RP
16918,"Weaver, Luke",NYA/SEA/CIN,SP/RP
20191,"Whitlock, Garrett",BOA,SP/RP
21238,"Winans, Allan",ATN,SP
29832,"Wolf, Jackson",SDN,SP
13781,"Wood, Alex",SFN,SP/RP
18674,"Woodford, Jake",SLN,SP/RP
16162,"Woodruff, Brandon",MLN,SP
19665,"Wright, Kyle",ATN,SP/RP
4994,"Abad, Fernando",CON,RP
20277,"Abbott, Cory",WAN,RP
17485,"Abreu, Albert",NYA,RP
17092,"Acevedo, Domingo",OAA,RP
27583,"Acton, Garrett",OAA,RP
11861,"Adam, Jason",TBA,RP
13801,"Adams, Austin",ARN,RP
25651,"Adcock, Ty",SEA,RP
19362,"Akin, Keegan",BAA,RP/SP
19459,"Alcala, Jorge",MNA,RP
10591,"Alexander, Scott",SFN,RP/SP
17735,"Alexander, Tyler",DEA,RP/SP
15068,"Almonte, Yency",LAN,RP
20546,"Anderson, Grant",TEA,RP
18337,"Anderson, Nick",ATN,RP
23631,"Andrews, Clayton",MLN,RP
16233,"Antone, Tejay",CIN,RP/SP
12857,"Armstrong, Shawn",TBA,RP/SP
29754,"Bachman, Sam",LAA,RP
19804,"Baker, Bryan",BAA,RP
21866,"Balazovic, Jordan",MNA,RP
14706,"Banda, Anthony",WAN,RP
16990,"Banks, Tanner",CHA,RP/SP
7115,"Bard, Daniel",CON,RP
22296,"Barlow, Joe",TEA,RP
12323,"Barnes, Jacob",SLN,RP
12863,"Barnes, Matt",MMN,RP/SP
13713,"Barraclough, Kyle",BOA,RP
7982,"Bass, Anthony",TOA,RP
20206,"Baumann, Mike",BAA,RP
20997,"Bazardo, Eduard",SEA/BAA,RP
21584,"Beck, Tristan",SFN,RP/SP
17192,"Beeks, Jalen",TBA,RP/SP
10657,"Bellatti, Andrew",PHN,RP
16835,"Bernardino, Brennan",BOA,RP/SP
22932,"Berroa, Prelander",SEA,RP
18519,"Bickford, Phil",NYN/LAN,RP
21267,"Bird, Jake",CON,RP/SP
7803,"Bleier, Richard",BOA,RP
23265,"Bolton, Cody",PIN,RP
16350,"Borucki, Ryan",PIN,RP/SP
19736,"Boushley, Caleb",MLN,RP
13528,"Bowman, Matt",NYA,RP
10133,"Boxberger, Brad",CHN,RP
15051,"Bracho, Silvino",CIN,RP
12918,"Bradley, Archie",MMN,RP
6107,"Brazoban, Huascar",MMN,RP
12777,"Brebbia, John",SFN,RP/SP
12997,"Brewer, Colten",NYA,RP
26079,"Brieske, Beau",DEA,RP/SP
16631,"Brigham, Jeff",NYN,RP
20494,"Bristo, Braden",DEA/TBA,RP
21205,"Brogdon, Connor",PHN,RP/SP
23779,"Bruihl, Justin",CON/LAN,RP
20491,"Bukauskas, J.B.",MLN/SEA,RP
16074,"Burdi, Nick",CHN,RP
19159,"Burdi, Zack",TBA,RP
17968,"Burke, Brock",TEA,RP
15239,"Busenitz, Alan",CIN,RP
1246,"Bush, Matt",MLN,RP
17490,"Cabrera, Genesis",TOA/SLN,RP
24681,"Caceres, Kelvin",LAA,RP
25416,"Calvo, Blair",CON,RP
25551,"Campbell, Isaiah",SEA,RP
25911,"Cano, Yennier",BAA,RP
13276,"Carasiti, Matt",CON,RP
19868,"Carlton, Drew",SDN,RP
19805,"Castano, Daniel",MMN,RP
17496,"Castillo, Diego",SEA,RP
17169,"Castillo, Jose",SDN,RP
21956,"Castillo, Max",KCA,RP
15684,"Castro, Miguel",ARN,RP
12988,"Chafin, Andrew",MLN/ARN,RP
10233,"Chapman, Aroldis",TEA/KCA,RP
13767,"Chargois, JT",MMN,RP/SP
5448,"Chavez, Jesse",ATN,RP/SP
15288,"Cimber, Adam",TOA,RP
6399,"Cisnero, Jose",DEA,RP
17611,"Clarke, Taylor",KCA,RP/SP
12890,"Claudio, Alex",MLN,RP
17897,"Cleavinger, Garrett",TBA,RP
22276,"Coleman, Dylan",KCA,RP/SP
6661,"Colome, Alex",CHA,RP
17264,"Coonrod, Sam",NYN,RP
15690,"Cordero, Jimmy",NYA,RP/SP
13293,"Coulombe, Danny",BAA,RP
21620,"Cousins, Jake",MLN,RP
14825,"Covey, Dylan",PHN/LAN,RP/SP
24604,"Cox, Austin",KCA,RP/SP
17732,"Crismatt, Nabil",ARN/SDN,RP
24975,"Criswell, Cooper",TBA,RP
25645,"Cronin, Declan",CHA,RP
19800,"Crowe, Wil",PIN,RP
7048,"Cruz, Fernando",CIN,RP/SP
17701,"Cuas, Jose",CHN/KCA,RP/SP
16128,"Curtiss, John",NYN,RP
18421,"Cyr, Tyler",LAN,RP
27582,"Daniel, Davis",LAA,RP
22116,"Danner, Hagen",TOA,RP
19871,"Davidson, Tucker",KCA/LAA,RP/SP
18554,"De Jesus, Enmanuel",MMN,RP
15036,"De Jong, Chase",PIN,RP
15463,"De Leon, Jose",MNA,RP/SP
21420,"De Los Santos, Yerry",PIN,RP
12763,"Devenski, Chris",TBA/LAA,RP
20298,"Diaz, Jhonathan",LAA,RP/SP
18815,"Diaz, Miguel",DEA,RP/SP
19249,"Dominguez, Seranthony",PHN,RP
21281,"Doyle, Tommy",CON,RP
17480,"Duarte, Daniel",CIN,RP
24977,"Dubin, Shawn",HOA,RP/SP
13758,"Duffey, Tyler",CHN,RP
13607,"Edwards Jr, Carl",WAN,RP
22288,"Englert, Mason",DEA,RP/SP
19360,"Erceg, Lucas",OAA,RP
21131,"Espada, Jose",SDN,RP
8246,"Espino, Paolo",WAN,RP
14542,"Estevez, Carlos",LAA,RP
22210,"Estrada, Jeremiah",CHN,RP
5114,"Familia, Jeurys",OAA,RP
13699,"Faria, Jake",BOA,RP
14814,"Farmer, Buck",CIN,RP
20116,"Faucher, Calvin",TBA,RP/SP
21163,"Felipe, Angel",OAA,RP
19349,"Ferguson, Caleb",LAN,RP/SP
24017,"Ferrer, Jose A.",WAN,RP
19330,"Festa, Matt",SEA,RP
20418,"Fleming, Josh",TBA,RP/SP
13394,"Floro, Dylan",MNA/MMN,RP
20548,"Francis, Bowden",TOA,RP
21997,"Frias, Luis",ARN,RP
31839,"Fujinami, Shintaro",BAA/OAA,RP/SP
18311,"Fulmer, Carson",LAA,RP/SP
13218,"Fulmer, Michael",CHN,RP/SP
24993,"Funderburk, Kody",MNA,RP
17381,"Gage, Matt",HOA,RP
14986,"Gallegos, Giovanny",SLN,RP
20276,"Garcia, Deivi",CHA/NYA,RP
6984,"Garcia, Luis",SDN,RP
20023,"Garcia, Rico",WAN/OAA,RP
23363,"Garcia, Robert",WAN/MMN,RP
12095,"Garcia, Yimi",TOA,RP
14375,"Garrett, Amir",KCA,RP
16866,"Garrett, Reed",NYN/BAA,RP
19784,"Garza, Justin",BOA,RP/SP
17871,"Gibaut, Ian",CIN,RP
17964,"Gilbert, Tyler",ARN,RP
22461,"Gillaspie, Logan",BAA,RP
10430,"Givens, Mychal",BAA,RP
22872,"Gomez, Yoendrys",NYA,RP
14663,"Gonzalez, Chi Chi",MMN,RP
16408,"Gonzalez, Victor",LAN,RP/SP
15046,"Gott, Trevor",NYN/SEA,RP
15514,"Graveman, Kendall",HOA/CHA,RP
15552,"Green, Chad",TOA,RP
10756,"Greene, Shane",CHN,RP
17292,"Guerra, Javy",TBA/MLN,RP/SP
9111,"Hand, Brad",ATN/CON,RP
22304,"Hanifee, Brenan",DEA,RP
18615,"Harris, Hobie",WAN,RP
19558,"Hartlieb, Geoff",MMN,RP
29946,"Hartwig, Grant",NYN,RP
19264,"Hatch, Thomas",PIN/TOA,RP/SP
27702,"Headrick, Brent",MNA,RP
18325,"Hearn, Taylor",KCA/ATN/TEA,RP
22224,"Heasley, Jonathan",KCA,RP
15100,"Heller, Ben",ATN,RP
11632,"Hembree, Heath",TBA,RP
3548,"Hendriks, Liam",CHA,RP
17556,"Herget, Jimmy",LAA,RP/SP
15369,"Herget, Kevin",CIN,RP
20271,"Hernandez, Daysbel",ATN,RP
17464,"Hernandez, Jonathan",TEA,RP
22318,"Hernandez, Jose",PIN,RP
19281,"Hernandez, Nick",SDN,RP
25139,"Herrin, Tim",CLA,RP
25097,"Hill, Garrett",DEA,RP
21481,"Hjelle, Sean",SFN,RP
26304,"Hoeing, Bryan",MMN,RP/SP
17432,"Hoffman, Jeff",PHN,RP
22361,"Holderman, Colin",PIN,RP
25427,"Hollowell, Gavin",CON,RP
16466,"Honeywell, Brent",CHA/SDN,RP
23252,"Howard, Spencer",TEA,RP
19924,"Hudson, Bryan",LAN,RP
7146,"Hudson, Daniel",LAN,RP
23460,"Hughes, Brandon",CHN,RP
1157,"Hunter, Tommy",NYN,RP
27514,"Hurt, Kyle",LAN,RP
26068,"Ingram, Kolton",LAA,RP
21298,"Jackson, Andre",PIN/LAN,RP/SP
7432,"Jackson, Jay",TOA,RP
11752,"Jackson, Luke",SFN,RP
19493,"Jackson, Zach",OAA,RP
29628,"Jacob, Alek",SDN,RP
25178,"Jacques, Joe",BOA,RP/SP
26260,"Jameson, Drey",ARN,RP/SP
3096,"Jansen, Kenley",BOA,RP
27477,"Jarvis, Bryce",ARN,RP/SP
21170,"Jimenez, Dany",OAA,RP/SP
15761,"Jimenez, Joe",ATN,RP
13435,"Johnson, Pierce",ATN/CON,RP
31461,"Joyce, Ben",LAA,RP
13619,"Junis, Jakob",SFN,RP/SP
30008,"Justice, Evan",CON,RP
11384,"Kahnle, Tommy",NYA,RP
23449,"Karcher, Ricky",CIN,RP
27488,"Kauffmann, Karl",CON,RP/SP
20387,"Kay, Anthony",NYN/CHN,RP
18454,"Kelley, Trevor",TBA,RP/SP
9761,"Kelly, Joe",LAN/CHA,RP
25679,"Kelly, Kevin",TBA,RP
12791,"Kelly, Michael",CLA,RP
20349,"Kelly, Zack",BOA,RP
6986,"Kennedy, Ian",TEA,RP
31776,"Kerkering, Orion",PHN,RP
23809,"Kerr, Ray",SDN,RP
26213,"Kilian, Caleb",CHN,RP/SP
22051,"King, John",SLN/TEA,RP
18297,"Kinley, Tyler",CON,RP
12828,"Kittredge, Andrew",TBA,RP
21541,"Knehr, Reiss",SDN,RP/SP
13420,"Koch, Matt",CON,RP/SP
10843,"Kolarek, Adam",NYN/LAN,RP
21549,"Kowar, Jackson",KCA,RP
13707,"Krehbiel, Joey",BAA,RP
21189,"Kriske, Brooks",KCA,RP
19315,"Krook, Matt",NYA,RP
14975,"Kuhl, Chad",WAN,RP/SP
19995,"Kuhnel, Joel",HOA/CIN,RP
25481,"La Sorsa, Joe",WAN/TBA,RP
19541,"Lambert, Jimmy",CHA,RP/SP
17186,"Lamet, Dinelson",BOA/CON,RP/SP
19883,"Lange, Alex",DEA,RP
21306,"Latz, Jake",TEA,RP
13133,"Law, Derek",CIN,RP/SP
11121,"Lawrence, Casey",SLN,RP
17639,"Lawrence, Justin",CON,RP
24763,"Leahy, Kyle",SLN,RP
14524,"Leclerc, Jose",TEA,RP
19996,"Lee, Dylan",ATN,RP/SP
25921,"Legumina, Casey",CIN,RP
13763,"Leone, Dominic",SEA/LAA/NYN,RP
25830,"Lindgren, Jeff",MMN,RP
28036,"Little, Luke",CHN,RP
20080,"Llovera, Mauricio",BOA/SFN,RP
19753,"Loaisiga, Jonathan",NYA,RP
20231,"Logue, Zach",DEA,RP
25379,"Long, Sam",OAA,RP/SP
25098,"Lopez, Jacob",TBA,RP/SP
14527,"Lopez, Jorge",BAA/MMN/MNA,RP
22982,"Lopez, Jose",TBA,RP
16400,"Lopez, Reynaldo",CLA/LAA/CHA,RP
19337,"Lovelady, Richard",OAA,RP
26058,"Lucas, Easton",OAA,RP
8337,"Luetge, Lucas",ATN,RP
14681,"Machado, Andres",WAN,RP
14857,"Mantiply, Joe",ARN,RP/SP
23488,"Marinaccio, Ron",NYA,RP
10835,"Mariot, Michael",CIN,RP
21761,"Marte, Jose",LAA,RP
14416,"Marte, Yunior",PHN,RP
11847,"Martin, Chris",BOA,RP
21023,"Martinez, Adrian",OAA,RP/SP
24453,"Martinez, Justin",ARN,RP
21045,"Martinez, Seth",HOA,RP
18064,"Maton, Phil",HOA,RP
6398,"May, Trevor",OAA,RP
15451,"Mayers, Mike",KCA,RP/SP
2895,"McAllister, Zach",NYA,RP
21527,"McArthur, James",KCA,RP/SP
20038,"McCaughan, Darren",SEA,RP
3237,"McFarland, T.J.",NYN,RP
12056,"McGough, Scott",ARN,RP/SP
7531,"McHugh, Collin",ATN,RP/SP
27942,"McMillon, John",KCA,RP
25376,"Mears, Nick",CON,RP
31533,"Mederos, Victor",LAA,RP
17722,"Megill, Trevor",MLN,RP/SP
20617,"Mejia, J.C.",MLN,RP
16703,"Merryweather, Julian",CHN,RP
15264,"Middleton, Keynan",NYA/CHA,RP
10197,"Miller, Shelby",LAN,RP/SP
19976,"Miller, Tyson",NYN/LAN/MLN,RP
13834,"Mills, Alec",CIN,RP
18152,"Misiewicz, Anthony",NYA/DEA/ARN,RP
27572,"Mlodzinski, Carmen",PIN,RP/SP
14309,"Montas, Frankie",NYA,RP
12760,"Montero, Rafael",HOA,RP
1890,"Moore, Matt",MMN/CLA/LAA,RP
25663,"Moore, McKinley",PHN,RP
20422,"Moran, Jovani",MNA,RP
20039,"Morejon, Adrian",SDN,RP/SP
21101,"Moreta, Dauri",PIN,RP
20203,"Morgan, Eli",CLA,RP
14966,"Moronta, Reyes",LAA,RP
25388,"Morris, Cody",CLA,RP
20209,"Muckenhirn, Zach",NYN,RP
25174,"Murfee, Penn",SEA,RP
21324,"Mushinski, Parker",HOA,RP
18186,"Naile, James",SLN,RP
25942,"Nardi, Andrew",MMN,RP
23292,"Naughton, Packy",SLN,RP
24363,"Navarro, Edgar",CHA,RP
11294,"Neal, Zach",OAA,RP/SP
20515,"Nelson, Kyle",ARN,RP/SP
20153,"Nelson, Nick",PHN,RP
16943,"Newcomb, Sean",OAA,RP/SP
27775,"Nicolas, Kyle",PIN,RP
16754,"Nittoli, Vinny",NYN,RP
19545,"Nogosek, Stephen",NYN,RP
11341,"Nolin, Sean",MMN,RP
13475,"Norris, Daniel",CLA,RP
13580,"Okert, Steven",MMN,RP/SP
20132,"Oller, Adam",OAA,RP/SP
20061,"Ort, Kaleb",BOA,RP/SP
21025,"Ortega, Oliver",MNA,RP
16942,"Ortiz, Luis F.",PHN,RP
1247,"Ottavino, Adam",NYN,RP
21366,"Otto, Glenn",TEA,RP
20099,"Paddack, Chris",MNA,RP
21327,"Padilla, Nicholas",CHA,RP
27914,"Palencia, Daniel",CHN,RP
26108,"Pallante, Andre",SLN,RP
17281,"Pannone, Thomas",MLN,RP
22815,"Patino, Luis",CHA/TBA,RP/SP
12361,"Patton, Spencer",OAA,RP
20160,"Pearson, Nate",TOA,RP
21652,"Peguero, Elvis",MLN,RP
25589,"Peralta, Sammy",CHA,RP
17759,"Perdomo, Angel",PIN,RP
19614,"Perez, Cionel",BAA,RP
21018,"Perez, Francisco",OAA,RP/SP
18592,"Perez, Hector",TBA,RP
21453,"Pilkington, Konnor",CLA,RP
21858,"Pint, Riley",CON,RP
20185,"Pop, Zach",TOA,RP
19343,"Puk, A.J.",MMN,RP
20643,"Quezada, Johan",MMN,RP
19200,"Quijada, Jose",LAA,RP
17610,"Rainey, Tanner",WAN,RP
10061,"Raley, Brooks",NYN,RP
10314,"Ramirez, Erasmo",TBA/WAN,RP/SP
12575,"Ramirez, Nick",NYA,RP
19444,"Ramirez, Yohan",CHA/PIN,RP
25071,"Ramsey, Lane",CHA,RP
16209,"Reed, Jake",LAN,RP
17034,"Reid-Foley, Sean",NYN,RP
20526,"Reyes, Denyi",NYN,RP/SP
16306,"Reyes, Gerardo",LAA,RP
15007,"Rios, Yacksel",OAA,RP
26226,"Robertson, Nick",BOA/LAN,RP/SP
14509,"Rodriguez, Dereck",ATN/MNA,RP
20962,"Rodriguez, Elvin",TBA,RP
11487,"Rodriguez, Joely",BOA,RP
17860,"Rodriguez, Jose",SEA,RP
21955,"Rodriguez, Yerry",TEA,RP/SP
13449,"Rogers, Taylor",SFN,RP
19574,"Romero, JoJo",SLN,RP
19454,"Rucker, Michael",CHN,RP
14552,"Ruiz, Jose",ARN/CHA,RP/SP
19891,"Ryan, Ryder",SEA,RP
26203,"Saalfrank, Andrew",ARN,RP
23135,"Salazar, Eduardo",CIN,RP
21461,"Sands, Cole",MNA,RP
19754,"Sanmartin, Reiver",CIN,RP
17878,"Santana, Dennis",NYN,RP
19926,"Santillan, Tony",CIN,RP
17888,"Saucedo, Tayler",SEA,RP
18323,"Sborz, Josh",TEA,RP
20020,"Schreiber, John",BOA,RP/SP
13652,"Scott, Tayler",OAA/BOA/LAN,RP/SP
24986,"Selby, Colin",PIN,RP/SP
12249,"Sherriff, Ryan",BOA,RP
10855,"Shreve, Chasen",CIN/DEA,RP
13470,"Sims, Lucas",CIN,RP
26364,"Small, Ethan",MLN,RP
19487,"Smeltzer, Devin",MMN,RP/SP
20190,"Smith, Chad",OAA,RP
17755,"Smith, Drew",NYN,RP
19179,"Snead, Kirby",OAA,RP
23307,"Snider, Collin",KCA,RP/SP
20476,"Solomon, Peter",ARN,RP
21863,"Soriano, George",MMN,RP/SP
22100,"Soriano, Jose",LAA,RP
19677,"Soto, Gregory",PHN,RP
21345,"Sousa, Bennett",HOA/MLN,RP
21859,"Speas, Alex",TEA,RP
17170,"Speier, Gabe",SEA,RP
15947,"Stanek, Ryne",HOA,RP
18335,"Staumont, Josh",KCA,RP/SP
14420,"Stephens, Jackson",ATN,RP
13594,"Stephenson, Robert",TBA/PIN,RP
16727,"Stewart, Brock",MNA,RP
23455,"Stratton, Hunter",PIN,RP
21367,"Strzelecki, Peter",ARN/MLN,RP
18300,"Suarez, Andrew",SLN,RP
15855,"Suero, Wander",LAN,RP
15256,"Sulser, Cole",ARN,RP
13942,"Suter, Brent",CON,RP/SP
16587,"Swanson, Erik",TOA,RP
25348,"Sweet, Devin",OAA/SEA,RP
12178,"Tapia, Domingo",SDN,RP
23324,"Tarnok, Freddy",OAA,RP/SP
17359,"Taylor, Josh",KCA,RP/SP
10291,"Tepera, Ryan",SLN/LAA,RP
22828,"Then, Juan",SEA,RP
19795,"Thompson, Keegan",CHN,RP
21850,"Thompson, Mason",WAN,RP
16647,"Thompson, Ryan",ARN/TBA,RP
25918,"Thompson, Zack",SLN,RP/SP
17948,"Thornton, Trent",SEA/TOA,RP/SP
20539,"Uceta, Edwin",NYN,RP
20323,"Uelmen, Erich",PHN,RP
14677,"Underwood Jr, Duane",PIN,RP
25327,"Uribe, Abner",MLN,RP
24935,"Vallimont, Chris",BAA,RP
22915,"Vargas, Carlos",ARN,RP
24737,"Varland, Gus",LAN/MLN,RP
19482,"Vasquez, Andrew",DEA/PHN,RP
27453,"Veneziano, Anthony",KCA,RP
13424,"VerHagen, Drew",SLN,RP
25007,"Vesia, Alex",LAN,RP/SP
21093,"Vespi, Nick",BAA,RP
14510,"Vieira, Thyago",MLN,RP
24614,"Vodnik, Victor",CON,RP
15047,"Voth, Austin",BAA,RP
25665,"Waites, Cole",SFN,RP
23617,"Walker, Josh",NYN,RP
20423,"Walker, Ryan",SFN,RP/SP
26056,"Walter, Brandon",BOA,RP
24933,"Wantz, Andrew",LAA,RP/SP
21513,"Ward, Thaddeus",WAN,RP
24937,"Warren, Austin",LAA,RP
19274,"Webb, Jacob",BAA/LAA,RP
10160,"Weber, Ryan",NYA,RP
13190,"Weems, Jordan",WAN,RP
15444,"Weiss, Zack",BOA/LAA,RP
20375,"Weissert, Greg",NYA,RP
26024,"White, Brendan",DEA,RP/SP
19225,"White, Mitch",TOA,RP
22273,"White, Owen",TEA,RP
26128,"Willingham, Amos",WAN,RP
20353,"Wilson, Steven",SDN,RP
22387,"Winckowski, Josh",BOA,RP/SP
24606,"Winder, Josh",MNA,RP
17793,"Wingenter, Trey",DEA,RP
15594,"Wittgren, Nick",KCA,RP
23095,"Wong, Jake",CIN,RP
24494,"Woods-Richardson, Simeon",MNA,RP
25804,"Wynne, Randy",CIN,RP
15157,"Yacabonis, Jimmy",NYN,RP
9073,"Yates, Kirby",ATN,RP
18333,"Young, Alex",CIN,RP
18439,"Young, Danny",ATN,RP
15094,"Zastryzny, Rob",PIN,RP/SP
20370,"Zimmermann, Bruce",BAA,RP
19588,"Zuniga, Guillermo",SLN,RP
